Pub No.,Pub Name,Date,Compliance,Title Description
SNL85-08,Oil Leak Troubleshooting Maintenance Tip,02/15/1985,79,Informational,Use Of Dye Penetrant Developer,
SE84-23,Low Vacuum Warning Light Installation,12/14/1984,37,Optional,Automatically Illuminates When Suction Drops,
NL84-08R1,TCM Engine Preservation For Active And Stored Air,11/30/1984,72,Informational,TCM Service Bulletin M84-10 Rev. #1,
SE80-58,Improved Window And Windshield Sealer,05/27/1980,56,See Publication,Improved Sealer (Isocryl 5603) Now Being Used,
SE79-30,Use Of Fuel Additives For Cold Weather Operation,06/18/1979,28,See Publication,Cold Weather Operation Procedures Attached,
SE78-73,Fuel Primer (O-ring P/N NAS1593-012),12/22/1978,28,See Publication,New O-ring Provides Smoother Operation And Improved Sealing,
SE78-17,Oil Cooler Installation,03/20/1978,79,See Publication,Announces AK150-120 For Installation Of Optional Oil Cooler,
SE77-31S1,Muffler Assembly Impr / Alternator Noise Filter,11/07/1977,24,See Publication,Serial Number Effectivity Of SE77-31 Revised. Figure #1 Of Installation Instructions Revised.,
SE76-16,Intake Valve Change,08/16/1976,,See Publication,Announces New Valve/Seat Angle (continental S/B M76-8),
SE76-10,Ignition Switch Inspection,04/19/1976,74,See Publication,Inspect For Positive Engine Shutoff And Repair If Required,
SE74-28,United Instrument Altimeter Directive(AD74-24-13),11/23/1974,34,See Publication,Replace/modify Applicable Altimeters,
SE73-02,Nose Wheel Closure Collar / Aft Propeller Spinner,01/12/1973,,See Publication,Prevents Accumulation Of Fuel From Collecting If Overprimed. Ensure Prop Spinner Is Shimmed Correctly.,
SE71-21,Circuit Breaker / Flap Pos Indtr / Throttle Cable,07/23/1971,24,See Publication,Minor Differences Between Wood Elect. & Mechanical Products. New Follow-up Cable Available - Less Internal Friction. Changed From A Bronze To A Steel Rod At Engine End.,
SE68-01,Flap Actuator Slippage (Relubricate Jackscrews),01/12/1968,27,See Publication,APPLICABLE WHEN AIRWORTHINESS CERT. IS DATED 11-66 thru 6-67,
SL67-21,Rocker Arm Shaft Inspection,04/28/1967,72,See Publication,Inspection Required Per Continental M67-6,
SL65-065,1966 Model 150 Service Information,07/02/1965,98,See Publication,Provides Information On New Service Items For 1966,
SL65-058,Upper Torque Link,06/01/1965,32,See Publication,New Link Reduces Oversize Tire Strut Travel By 1/2 Inch,
SL65-041,Alternator Support Bracket / Alt Noise Filter,04/16/1965,,See Publication,Install New Support And Adjusting Arm. Install New Filter Where Support Strap Cracks Are Found. Announces They May Be Installed In Place Of Goodyear.,
SL65-036,Nose Gear Strut Back-up Ring Chg / Landing Light,04/02/1965,32,See Publication,Replace Leather Back-up Ring With New Rubber Contoured Ring. Tape Landing Light Wires To Prevent Chafing On Ash Receiver.,
SL65-015,Slow Gyro Erection / Overhaul Manual Flap & Gear,02/12/1965,,See Publication,Practice Of Oiling Gyro Bearings Has Been Stopped. Announces Flap And Gear Motor Overhaul Manual.,
SL65-10,Pulley Bracket Stiffener/Lower Rudder Spar,01/29/1965,,Recommended,Pulley Bracket Stiffener Relocation and Lower Rudder Spar Modification,
SL64-18,Nose Strut Air Valve / Oil Sump / Alt Spark Plug,03/20/1964,,See Publication,Provides Extension For Air Valve. Information To Aid Complete Oil Drainage. Champion Rhb33e Approved As Alternate For Ac273.,
SL62-67,New Propeller Spinner Mounting Bulkhead,09/07/1962,61,See Publication,Announces Stronger Bulkhead - Supersedes SL62-30,
SL62-42,New Circuit Breaker Switch-Whelen Rotating Beacon,04/24/1962,24,See Publication,Install Larger Breaker If New Bulb Causes Tripping,
SNL61-04-21,Field Repair - Nose Wheel Forks,04/21/1961,32,Informational,Kit Allows Field Replacement Of Nose Wheel Forks,
SL150-22,Cleveland Wheels And Brakes Were Factory Install,01/03/1961,32,See Publication,Provides Easier Lining Replace. & Positively Attached Disc,
SL150-21,Model 150 Vertical Fin Reinforcement,12/09/1960,53,See Publication,Doublers Added To The Vertical Fin Spar,
SL150-08,Parking Brake Lock Change,08/20/1959,32,See Publication,Modification Necessary To Prevent Park Brake Sticking,
SL150-06,Model 150 Wheel Alignment,05/11/1959,32,See Publication,Two Shims Available For Setting Main Wheel Alignment,
SEL-79-03,Oil - Transmittal of Continental Aerospace Techno,04/21/2021,79,Mandatory,Oil - Transmittal of Continental Aerospace Technologies CSB07-1A Connecting Rod Piston Pin Bushing Inspection,
SEL-51-01,Use Of Corrosion Inhibiting Compounds,01/13/2012,,Informational,Use Of Corrosion Inhibiting Compounds,
SEB09-3,Carburetor Throttle Body to Bowl Screw Inspection,04/27/2009,,Mandatory,Carburetor Throttle Body to Bowl Screw Inspection - Continental Engine Airplanes,
SEB86-8R1,Shoulder Harness Adjuster Spring Inspec/Removal,07/28/2003,25,Mandatory,Some of the shoulder harness belt adjusters included in the affected shoulder harness Accessory Kits may have had a small wire spring installed inadvertently on the belt friction pin.,
SEB02-2,Flammable Fluid Lines Inspection,02/18/2002,,Mandatory,Inspection of all flammable fluid carrying hoses/lines and oxygen lines in the cabin is required.,
SEB99-18R1,Fuel Quantity Indicating System Inspection,04/30/2001,28,Mandatory,To Verify Gauge Reads Empty When Tanks Are Empty,
SNL00-02,Service Publications Temporary Revision Changes,01/17/2000,98,Informational,To announce changes for temporary revisions,
SNL99-12,Cablecraft Engine Control Cable Friction Cone,11/15/1999,76,Informational,Prevents Slippage After Friction Lock Has Been Applied,
AQK150-002,Firewall Forward Engine Hose Kit,05/19/1999,,Not Applicable,Firewall Forward Engine Hose Kit,
SNL98-08R1,Revised Maintenance Practices - Hazardous Air,11/02/1998,20,Informational,Replace Pages 1 And 2 Of SNL98-8,
SNL94-08,New Cessna Service Station Directory,07/01/1994,98,Informational,Announces P/N D7467-13 Directory (Dated May 1994),
SEB92-14R1,Engine Oil Temperature Gauge & Probe Replacement,12/23/1993,79,Recommended,Rev. Effectivity, Purpose, Compl., Credit, Accomplish. Sec.,
SNL93-03,Cabin Skin Panel Corrosion Inspection And Repair,06/25/1993,53,Informational,Repair Corrosion Damage Under Vibration Damping Material,
SEB92-27,Reduced Dia Vented Fuel Cap Instl & Turbo Placard,09/04/1992,28,Mandatory,This Bulletin Supersedes SE77-6/-6 Rev.1, SE84-16/-16 Rev.1,
SEB92-26,Additional Fuel Tank Drain Valves Installation,09/04/1992,28,Mandatory,Assist In Detection/Removal of Water and/or Fuel Contaminant,
SEB92-28,Seat Belt And Shoulder Harness Installation,09/04/1992,25,Mandatory,Provide Metal-to-metal Connection Type Assemblies,
SE77-06R2,Vented Fuel Caps,09/04/1992,28,See Publication,SE77-6 Revision 1 Is Superseded By SEB92-27 Or ME84-31,
SE81-24R1,Fuel System Quick Drain Modification,09/04/1992,28,See Publication,This Service Information Letter Is Superseded By SEB92-23,
SNL89-19,Cessna Customer Care Supplies And Pubs Catalog,12/08/1989,98,Informational,P/N D7407-13 (1990) Now Available - (supersedes SNL88-15),
SNL88-12,Importance of Pilot Seat Security, Inspec & Maint,08/05/1988,25,Informational,Stresses The Importance Of Inspection And Maintenance,
PNL87-14,S2275 Series Seat Belts,10/12/1987,,Not Applicable,S2275 Series Seat Belts,
SNL87-10,Cessna Propeller Aircraft Technical Support,03/13/1987,98,Informational,Announces Extensive Network Of People/facilities & Resources,
SNL85-54,Revised O/H-replacement Req. For Hydraulic System,11/27/1985,29,Informational,Specific Items Revised To 'on Condition' Overhaul Interval,
SNL85-51,New Cessna Aircraft Condition Report Form,11/15/1985,98,Informational,P/N D5537-13 Form (P/N D5537-1-13 Available 1-1-89),
SNL85-34,Proper Engine Break-in Procedure,08/09/1985,72,Informational,TCM Bulletin M81-5, Lycoming Service Instruction 1427A,
NL84-18,Slick Magneto Servicing Interval,10/26/1984,74,Informational,100 Hour And 500 Hour Service Requirements,
SE78-62,Vertical Fin Attach Bracket - (AD78-25-07),10/13/1978,55,See Publication,Inspect Base/leg Joint For Cracks And Replace,
SNL76-03,Single Engine Aircraft Checklists (except 188 Ser,04/12/1976,04,Informational,Plastic Covered Checklists Available,
SE73-25,Elevator Trim Tab Actuating System Maintenance,09/14/1973,27,See Publication,100-hour And 1000-hour Maintenance Requirements Established,
SE72-34,Bus Bar Power Supply Cable / Winterization Kit,11/17/1972,,See Publication,Relocate Bus Bar To Clear Instrument Panel. Ensure Air Filter Cover Is Properly Installed.,
SE72-12,Oil Quick Drain Valve Inspection,04/14/1972,79,See Publication,Replace Valves With Small Undercut Diameter,
SE71-34S1,Nose Gear Fork Inspection - (AD71-22-02),02/11/1972,32,See Publication,Revises Instructions And Provides Additional Information,
SE70-28,Fuel Tank Filler Neck Sealing,10/23/1970,28,See Publication,Seal Filler Neck And Adapter To Prevent Water Entry,
SE70-15,Improved Starter Clutch,06/05/1970,72,See Publication,New Clutch For Improved Service Life,
SE69-03,Lower Cowl Reinforcement / Exhaust Valve Leakage,01/24/1969,72,See Publication,Two Doublers Added Just Forward Of Lower Cowl Opening. Continental Bulletin M68-19 Attached.,
SE68-34,Vhf Communications Antenna Replacement,12/31/1968,23,See Publication,Install New Antenna To Prevent Vibration,
SE68-22,Stall Warning Horn Improvement - (AD68-17-04),08/09/1968,27,See Publication,Replace Plastic Reed With Metal Reed,
SL67-08,Defrost Deflector /  Mounting Bolt / De-ice Fluid,02/03/1967,30,See Publication,New Deflector P/N 0713253-1 Available. Shock-mounted Alternator Is Torqued To 100-140 In. Lbs.  To Prevent Paint Damage, Dilute Fluid To 50% Or Less Alcohol. ,
SL66-47,SL65-102S1(inductn Box) / SL66-13(150 Nose Gear),08/26/1966,32,See Publication,Credit Expiration Dates Extended,
SL65-084,Gyro Precession,09/10/1965,37,See Publication,Inspect Vacuum System Operation Prior To Gyro Replacement,
SL65-059S1,Cessna-crafted Oil Filter Design Improvement,08/13/1965,71,See Publication,Announces Use Of Stronger Filter And Replaces Early Filter,
SL65-072,Exhaust System Change - (AD67-03-01),07/27/1965,78,See Publication,Announces New Exhaust Stack & Moves Heat Shroud To Left Side,
SL65-061,Nose Gear Improvements,06/11/1965,32,See Publication,Provides List Of Nose Gear Improvements And Usage,
SL65-033,Cntrl Sys Pulleys / Eng Baffle Material Thickness,03/26/1965,71,See Publication,Replace Control System Pulleys To Avoid Cracking. Increased Thickness From .025 To .040 Inches.,
SL65-031,Bus Bar Inspect / 100 Series Srv Man Pages Revise,03/19/1965,98,See Publication,Cut Off Excess Length Of Bus Bar Or Tape To Prevent Shorts. Revised Page Which Deletes Control Surface Balance Info.,
SL64-08S1,Plastic Control Wheel Inspection,02/28/1964,27,See Publication,Information Provided To Clarify The Special Inspection,
SL63-54,Static Wick Impr / Opt Fuel Select Valv / Baffles,12/06/1963,28,See Publication,Increased Diameter - Better Material - Better Anchor Lug. Left-right-both Positions Available With Valve. One-time Visual Inspection Required (see Sl64-04).,
SL63-25,Propeller Spinner Improvements,05/28/1963,61,See Publication,Secondary Mounting Bulkhead Added,
SNL62-12-11,Continental Service Bulletins M62-12, M62-14, And,12/11/1962,,Informational,This Publication Is Inactive,
SNL61-11-07,Continental Service Bulletins M61-7, -8, -9 And,11/07/1961,,Informational,This Publication Is Inactive,
SL150-27,Rudder Spar Inspection,10/20/1961,27,See Publication,Triangular Stiffener Used To Repair Any Cracks Found,
SL175-28,Mixture Control Routing Change,10/20/1961,,See Publication,This Publication Is Inactive,
SL150-23S1,Muffer Replacement Program,06/23/1961,78,See Publication,New Right Hand Muffler Available For $20.00,
SL150-24,Inspection Of Landing Gear Support Bracket,02/17/1961,32,See Publication,New Configuration Of Bracket Available,
SL150-14,Tail Cone Modification,01/19/1960,53,See Publication,Replace An470ad-3 Rivets With -4 Rivets At Station 173.41,
SL150-04,Nose Strut Inflation,03/27/1959,,See Publication,This Publication Is Inactive,
SEL-99-02,Miscellaneous - Installation Of The Cessna And Be,01/27/2025,99,Informational,Miscellaneous - Installation Of The Cessna And Beechcraft Variant Part Numbers ,
SEL-28-10,Fuel - Fuel Strainer Bowl Inspection,01/05/2023,28,Mandatory,Fuel - Fuel Strainer Bowl Inspection,
SEB10-4,Carburetor Brass Float Clearance Inspection - Con,07/20/2010,,Recommended,Carburetor Brass Float Clearance Inspection - Continental Engine Airplanes,
SNL10-8,Volare Carburetors - Use of Unauthorized Parts,07/20/2010,,Informational,Volare Carburetors - Use of Unauthorized Parts,
SEB07-4-R01,Floorboard/Seat Pan Crack Inspection,02/01/2010,,Recommended,Floorboard/Seat Pan Crack Inspection,
SEB00-5-R03,Cleveland Wheels and Brakes Installation,10/26/2009,,Recommended,Cleveland Wheels and Brakes Installation,
SEB04-3,Magneto Capacitor Inspection,09/13/2004,74,Mandatory,Transmit TCM Critical Service Bulletin CSB 665A requiring an inspection &, if required, replacement of affected part number 10-400615 magneto capacitors that may have a ground stud with threads that do not meet specification.,
SEB03-3,VR600A Voltage Regulator Replacement,07/28/2003,24,Mandatory,Announce SK210-170 which provides parts & instructions to replace an installed VR600A Voltage Regulator w/ VR660 Voltage Regulator.,
SEB01-6,Ignition Switch Center Ground Terminal Inspection,06/25/2001,74,Recommended,Inspect Ignit. Switch Board And Replace If Required,
SNL00-14,Cessna Service Information For Propeller Models,12/26/2000,98,Optional,To Provide Description Of Service Information Offered,
SEB00-7,Vacuum System Air Filter Element Inspect/Replace,09/11/2000,37,Mandatory,Inspection For Airborne Air Filter Element Spec. In Bulletin,
SNL00-11,Approved Nondestructive Testing Facilities (NDT),08/28/2000,05,Informational,To Provide A Listing Of Ndt Facilities,
SNL98-08,Revised Maintenance Practices - Hazardous Air,07/20/1998,20,Informational,Refer To Federal Register, 40 Code Of Fed. Reg. Part 63,
SNL98-03,Cessna Customer Care Supplies And Pubs Catalog,04/27/1998,98,Informational,1998 Cessna Customer Care Sup. & Pubs. Catalog (D7512-13),
SNL95-10,Cessna Customer Care Supplies And Pubs Catalog,12/29/1995,98,Informational,1996 Cessna Customer Care Supp. & Pubs. Catalog (D7480-13),
SNL95-09,FAA Apv'd Supp Type Cert (STC's) & FAA-PMA Apv'd,11/17/1995,98,Informational,FAA Responsible For Aftermarket STC & PMA Components,
SNL95-08,Approved Nondestructive Testing Facilities,09/01/1995,20,Informational,Cessna Certified Nondestructive Testing Facilities,
SNL94-13,Revised Progressive Care & Continuous Inspec.,12/30/1994,05,Informational,Revision 4 Plus Information For Developing Insp. Programs,
SEB92-17R1,Engine Oil Pressure Gauge Replacement,02/04/1994,79,Recommended,Revise Effectivity And Accomplishment Instruction Sections,
SEB93-14,Carburetor Air Intake Housing Assembly Inspection,09/10/1993,73,Mandatory,Transmit TCM Critical Service Bulletin CSB93-13,
SEB92-30,Slick 4000 And 4100 Series Magneto Service Life,10/09/1992,74,Mandatory,Transmit Slick Service Bulletin SB2-80,
SE79-45R1,Fuel Quick Drains,09/04/1992,28,See Publication,This Service Letter Is Superseded By SEB92-24 And MEB92-07,
SEB92-24,Fuel System Quick Drain Valve Installation,09/04/1992,28,Mandatory,This Service Bulletin Supersedes SE79-45,
SEB86-08,Shoulder Harness Adjuster Spring Removal ,11/21/1986,25,Mandatory,Applies If Shoulder Harness Accessory Kit Has Been Installed,
SNL86-44,Flight Control Surface Balancing Information,09/12/1986,27,Informational,Supplemental Info & Detailed Info On Use Of Balance Fixture,
SNL85-53,Cessna Pilot Safety And Warning Supplements,11/27/1985,98,Informational,Provides P/N D5099-13 Safety And Warning Supplement,
SNL85-35R1,Use Of Airplane Lights For Daytime Recognition,08/23/1985,33,Informational,FAA Safety Program 'Operation Lights On',
SNL85-13,Improved Flashing Beacon Bulbs,03/22/1985,33,Informational,New P/N C17312-1 Bulb Available,
SE82-36,Fuel Contamination,07/30/1982,28,Mandatory,Stresses Importance Of Routine Fuel System Inspec. & Maint.,
SE82-35,Ignition Switch Inspection,07/30/1982,74,See Publication,Detect Bendix Switches That Allow Key Removal When Not 'Off',
SE82-08,Vacuum System Maintenance Procedures,02/22/1982,37,Recommended,To Review Vacuum System Maintenance Procedures,
NL81-06,Metal-to-metal Seat Belt Requirement,05/22/1981,25,Informational,FAR Part 91 Requires All Belts To Have Metal-to-metal Latch,
SE80-41A1,Slick Magneto Impulse Couplings,04/07/1980,74,See Publication,Listing Of Authorized Slick Electro Distributors,
SE77-08,Propeller Spinner Bulkhead Imp / Fuel Sys Improve,03/21/1977,61,See Publication,Improved Forward And Aft Spinner Bulkheads Available. Continental Service Bulletin M76-11, Rev. #1 Attached.,
SE74-25,Rocker Switch Improvement,10/11/1974,39,See Publication,Use New Switches When Replacement Is Required,
SNL74-03,Wichita is now a U.S.ort of Entry,06/21/1974,28,Informational,Wichita is now a U.S.ort of Entry,
SE73-35,Poly Landing Gear Fairings / Air Box Valve Shaft,11/09/1973,71,See Publication,A New .125 Inch Plastic Material Now Being Used. P/N 0716613-4 & P/N 071613-5 Valves Are Not Interchangeable. Additional Recommendations To Prevent Bushing Wear,
SE73-29,172 Cowling Imp / Shoulder Harn Seat Belt Connect,09/28/1973,25,Recommended,Changes Provide Increased Strength And Improved Fit. O-Ring Improves Shoulder Harness To Seat Belt Connection.,
SE73-20,Wing Strut Attachment Strap Replacement ,08/17/1973,57,See Publication,Replacement Of Strap Required,
SE72-18,Emergency Locator Transmitter Replacement,05/26/1972,39,See Publication,Replace Elt Due To Faulty Electronic Component,
SE72-06,Fuel Cap Improvement,03/10/1972,28,See Publication,Announces New Cap For Use If Leakage Is Present,
SE71-44,Fuel Line Elevator Cntrl Cable / Air Filter Seal,12/24/1971,71,See Publication,Ensure That Adequate Clearance Exists. Material Thickness Of Seal Body Was Increased.,
SE71-40,Alternator Thru-bolt,11/24/1971,24,See Publication,New Thru-bolt, Improved Retainer, And Increased Torque,
SE69-28S1,NAS679A3 Lock Nut Replacement,01/27/1970,98,See Publication,Serial Number Range For Model 150 Revised,
SE69-22,Improved Flasher Assembly For Omni-flash Beacon,11/07/1969,33,See Publication,Improved Flasher Assembly Available,
SL67-48,New Regulation Pertaining To Altimeters,08/25/1967,34,See Publication,Old Altimeter Might Not Meet New Requirements For Ifr Flight,
SL66-01,Cessna-crafted 60 Amp Alternator / Slick Magneto,01/07/1966,24,See Publication,Supersedes 52 Amp Alternator P/N 0750217-1. Service Information Available In Slick Manual P/N 955221-13.,
SL65-098,Flap System Change,11/16/1965,27,See Publication,Adds Relay To Prevent Blowing Fuses,
SL64-08S5,Plastic Control Wheel Inspection,11/16/1965,27,See Publication,Cancels Credit Program,
SL65-089,Batt Contactor/Wing Flap Cable/Wing Sump Drain,09/28/1965,24,See Publication,Announces Heavy Duty Contactor P/N S1579-1. Provides Revised Service Manual Page To Correct Routing. New O-ring To Improve Seal Between Drain Plug And Adapter.,
SL65-056,Tach Shaft Chang / Throttle Control Friction Lock,05/28/1965,77,See Publication,New Stiffer Housing To Improve Shaft Service Life. Announces Replacement Cork Grommet For Lock.,
SL65-030,Oil Filter Adapter Nut Torque Value,03/16/1965,79,See Publication,Provides Torque Value And Announces Filter Adapter Wrench,
SL64-58,Nose Wheel Shimmy / Seat Belt Attachment Chg,12/15/1964,32,See Publication,Rotate Strut 180 Degrees To Reduce Shimmy. Replace Nutplate For Belt Attach Bracket.,
SL64-03S1,Throttle Friction Grommet Change,04/28/1964,76,See Publication,New Friction Lock Grommet For 1963 And 1964 Models,
SL64-11,Cowl Flap Rigging / Sealing Crafted Oil Filter,02/21/1964,79,See Publication,Procedure To Fix Cowl Flaps That Operate Intermittently. Grease Gasket To Prevent Oil Leak.,
SL64-03,Nose Wheel Fork Srvc Kit / Throttle Friction Grom,01/31/1964,,See Publication,Announces SK175-9 Was Revised To Include New Fairing Cover. New Grommet Of Harder Material To Prevent Control Binding.,
SL63-60,Cessna-crafted Rotating Beacon Improvements,12/24/1963,33,See Publication,Bulb, Dome, And Motor Improvements,
SL63-31,Nose Gear Maintenance,07/16/1963,32,See Publication,Procedures To Minimize Nose Wheel Shimmy,
SL62-44,Implex 'a' Plastic Control Wheel Inspection,04/27/1962,27,See Publication,Check For Cracks Under Tension - Superseded By SL64-8,
SL62-30,New Propeller Spinner Mounting Bulkhead,03/30/1962,61,See Publication,Announces New Improved Bulkhead,
SL62-17,Whelen Rotating Beacon Modification,02/13/1962,33,See Publication,Loctite Lens Screws And New Bulb Available,
SL62-08,Battery Contactor Modification,01/16/1962,24,See Publication,Install Diode On Contactor To Reduce Spike Voltage,
SL150-10S1,Oil Pressure Line Replacement Supercedes SL150-10,10/09/1959,77,See Publication,All Engine Configurations Require Hose Replacement,
SL150-11,Model 150 Muffler Replacement,09/21/1959,78,See Publication,Replacement Of Muffler Required,
SL150-07,Goodyear Maintenance Manual,05/25/1959,,See Publication,This Publication Is Inactive,
SL150-05,Continental Bulletin M59-6 (Replace Outer Valve),04/07/1959,,See Publication,This Publication Is Inactive,
SL150-01,Model 150 Fuselage Jig Adapters,10/23/1958,,See Publication,This Publication Is Inactive,
SEL-74-08 REV 1, Ignition -Transmittal of Lycoming Service Bu,04/21/2025,74,Mandatory, Ignition -Transmittal of Lycoming Service Bulletin NO. 660 and Champion Aerospace Slick Service Bulletin SB1-24A     REV 1,
SEL-24-14,Electrical Power -Transmittal of Hartzell Alert ,06/13/2023,24,Informational,Electrical Power -Transmittal of Hartzell Alert Service Bulletin NO. 097 Alternator Mounting Flange Inspection,
SEB11-4-R01,Roller Housing Inspection,01/20/2012,,Recommended,Roller Housing Inspection,
SEB09-6-R01,Electrical Switches Inspection and Replacement,11/23/2009,,Mandatory,Electrical Switches Inspection and Replacement,
SEB08-4-R01,Unison Industries Slick 4200/4300/6200/6300 Magne,04/27/2009,,Mandatory,Unison Industries Slick 4200/4300/6200/6300 Magnetos Inspection,
SEB09-5,Carburetor Float Replacement - Continental Engine,04/27/2009,,Mandatory,Carburetor Float Replacement - Continental Engine Airplanes,
SNL06-6,FAA Approved Supplemental Type Certificates ,03/20/2006,,Informational,In response to customer inquiries, Cessna is providing this SNL06-6 to provide guidance to our customers regarding the incorporation of STC's and/or PMA approved parts that have not been evaluated by Cessna. Some examples of modifications and parts that may affect the airplane aerodynamics, gross weight, flying characteristics, structure, systems or performance are: powerplant and propeller changes, add-on wing tip fuel tanks, vortex generators, camera modifications, winglets, oversize tires, etc.,
SEB86-8R2,Shoulder Harness Adjuster Spring Inspec/Removal,06/07/2005,25,Mandatory,Some of the shoulder harness belt adjusters included in the affected shoulder harness Accessory Kits may have had a small wire spring installed inadvertently on the belt friction pin.,
SNL03-10,Handling of Airplane Gyro Instruments,10/27/2003,34,Informational,To transmit gyro handling guidelines set out in Honeywell Service Memo No. 377.,
SEB03-4,Nose Landing Gear Wheel Fairing Modification,09/29/2003,32,Optional,To provide a modification to enhance the strength of the nose landing gear wheel fairing upper attachment area.,
AQK150-003R1,Firewall Forward Engine Hose Kit,05/03/2000,,Not Applicable,Firewall Forward Engine Hose Kit ,
SNL98-11,Year 2000 Readiness Disclosure,12/21/1998,98,Informational,Addresses Readiness Of Year 2000 For Various Systems,
SNL98-10,Cessna Service Information For Propeller Models,09/14/1998,98,Informational,Brief Description Of Service Information Issued By Cessna,
SNL96-02,Cessna Prop. Aircraft Product Support Brochure,04/19/1996,98,Informational,Cessna Propeller Aircraft Product Support Brochure D7492-13,
SEB95-07,Engine Carburetor Nozzle Replacement,03/24/1995,73,Recommended,Transmit TCM Directive SID94-12 & Precision Bulletin MSA-7,
SEB95-03,Flap Support Inspection & Roller Washer Install.,03/10/1995,27,Recommended,Install Stainless Steel Washers On Each Side Of Fwd. Rollers,
SEB93-17R1,Pitot Heater Operation Warning Placards,12/16/1994,30,Mandatory,Rev. Effectivity Sect. To Include Additional Serial Numbers,
SEB94-11,Engine Oil Temperature Gauge & Probe Replacement,05/27/1994,77,Recommended,Replace Stewart Warner Component With Rochester Component,
SNL92-08,Cessna Customer Care Supplies And Pubs Catalog,12/31/1992,98,Informational,1993 Cessna Customer Care Supplies And Publications Catalog,
SEB92-29,Ignition Switch Inspection,10/09/1992,74,Mandatory,Transmit TCM Mandatory Service Bulletin No. 636,
SEB91-05R1,Ignition Switch Lubrication & Starter Contactor,06/14/1991,74,Recommended,Correct Serial Effectivity And Accomplishment Instructions,
SNL88-03,Teledyne Continental Motors Oil Filter Replace,01/15/1988,79,Informational,'Pro-tech' Oil Filters Must Be Replaced (TCM S/B M88-4),
SNL85-03R2,A/C Windshield & Window Maintenance Procedure,03/06/1987,56,Informational,Maintenance And Cleaning Procedures For Acrylic Windshields,
SNL86-39,Phillips X/C II Multiviscosity Oil,09/05/1986,79,Informational,Phillips X/C II Oil Does Not Qualify To Mil Specification,
SE83-24,Wheel Fairing Replacement Kits,09/09/1983,32,See Publication,Allows Installation Of Latest Wheel Fairings On Earlier A/C,
SE80-41A2,Slick Magneto Impulse Couplings,06/30/1980,74,See Publication,Announces Closing Date For Credit Program,
SE80-16,Turnbuckle Barrel Inspection,02/04/1980,98,See Publication,One-time Visual Inspection For Apparent Cracks,
SE78-19,External Power Receptacle Wiring,03/27/1978,24,See Publication,Inspect Battery Contactor Wiring,
SE75-17,Strobe Light System Maintenance,08/15/1975,33,See Publication,Service Information Attached,
SNL75-03,Color Code For Low Lead Avgas 100,08/01/1975,28,Informational,100LL Avgas Is Blue And 100/130 Avgas Is Green In Color,
SE75-12,Cht Probe Location / Painting Of Formed Abs Part,06/27/1975,11,See Publication,Inspect To Make Sure Probe Is In Correct Location. Procedure Attached.,
SE75-10,Cabin Door Latch / Cylinder Head Temp Send Unit,06/13/1975,77,See Publication,New Pushrod Provides More Rigid Link Between Handle & Latch. P/n S1372-2 Unit Utilizes A Socket Connector.,
